Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ ,Aggregate Cost Share for Beneficiaries with Low Income Subsidy,Aggregate Cost Share for Beneficiaries with No Low Income Subsidy, Opioid Drug Flag ,Extended-Release Opioid Drug Flag, Antibiotic Drug Flag , Antipsychotic Drug Flag 
LEVALBUTEROL TARTRATE HFA,LEVALBUTEROL TARTRATE,9466,13994,17131.9,1101075.74,10686,,10832,13449.1,861017.35,,8418,10527.48,207232.53,N,N,N,N
LEVAQUIN,LEVOFLOXACIN,1250,1841,1882.9,655407.63,1124,,1497,1518.9,502916.50,,938,2435.06,58634.08,N,N,Y,N
LEVAQUIN,LEVOFLOXACIN/D5W,54,76,76.0,6665.56,63,#,,,,#,,25.40,422.67,N,N,Y,N
LEVEMIR,INSULIN DETEMIR,108573,1079976,1313349.1,530815997.72,209130,,792165,960732.8,367193452.93,,149309,2595286.43,28607329.93,N,N,N,N
LEVEMIR FLEXPEN,INSULIN DETEMIR,1930,4508,5549.4,1632081.78,2100,,3219,3963.4,1093411.43,,1500,13142.15,83791.44,N,N,N,N
LEVEMIR FLEXTOUCH,INSULIN DETEMIR,170878,2545185,3848433.3,1418948974.70,525380,,1905160,2939469,1026242845.90,,392891,6568563.58,115131860.91,N,N,N,N
LEVETIRACETAM,LEVETIRACETAM,232716,3957425,5027572.0,104719720.61,578194,,2336160,3082764.1,58956236.50,,366139,2024130.88,16293574.99,N,N,N,N
LEVETIRACETAM ER,LEVETIRACETAM,14974,121426,172604.5,7802117.61,22126,,67762,104063.8,4129680.88,,13245,88177.42,1307770.73,N,N,N,N
LEVETIRACETAM-NACL,LEVETIRACETAM IN NACL (ISO-OS),20,84,84.0,22733.68,21,,16,16,4035.18,#,,140.55,867.58,N,N,N,N
LEVITRA,VARDENAFIL HCL,747,3940,4252.0,767562.85,945,,3471,3753.3,681144.48,,842,6143.13,89862.45,N,N,N,N
LEVOBUNOLOL HCL,LEVOBUNOLOL HCL,13120,126756,228341.4,2293893.43,31592,,121802,220965.4,2214958.24,,30453,34367.90,944891.65,N,N,N,N
LEVOCARNITINE,LEVOCARNITINE,4192,37003,41437.9,2897279.28,5269,,10359,12505.9,791370.51,,1877,12664.12,118526.78,N,N,N,N
LEVOCARNITINE,LEVOCARNITINE (WITH SUGAR),1334,8883,9404.7,1241346.37,1358,,1597,1676.4,179511.59,,263,2011.08,11737.23,N,N,N,N
LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,98318,1244925,1781843.0,23131130.70,354397,,914421,1345912.1,17287543.63,,274766,768413.56,6502955.18,N,N,N,N
LEVOFLOXACIN,LEVOFLOXACIN,461702,4393256,4403931.7,50808110.74,3156813,,3568824,3577530.2,42261029.31,,2587260,1896189.31,21264778.23,N,N,Y,N
LEVOFLOXACIN-D5W,LEVOFLOXACIN/D5W,5499,15968,16191.9,762274.44,8440,,12959,13124.9,590787.83,,7103,5596.51,63509.46,N,N,Y,N
LEVOLEUCOVORIN CALCIUM,LEVOLEUCOVORIN CALCIUM,15,41,41.0,152394.56,17,#,,,,#,,0.00,18249.45,N,N,N,N
LEVONEST,LEVONORGESTREL-ETHIN ESTRADIOL,263,1485,1740.5,29370.51,227,,14,15.8,313.81,*,,1279.35,1752.58,N,N,N,N
LEVONORG-ETH ESTRAD ETH ESTRAD,L-NORGEST/E.ESTRADIOL-E.ESTRAD,426,664,1981.5,97885.83,413,,0,0,0.00,,0,762.84,3168.98,N,N,N,N
LEVONORGESTREL,LEVONORGESTREL,13,19,19.0,504.41,13,,0,0,0.00,,0,21.60,0.00,N,N,N,N
LEVONORGESTREL-ETH ESTRADIOL,LEVONORGESTREL-ETHIN ESTRADIOL,3217,10796,19608.1,385165.53,3018,,43,65.5,1174.43,,17,8698.06,23660.19,N,N,N,N
LEVORA-28,LEVONORGESTREL-ETHIN ESTRADIOL,1669,6678,11281.8,169223.07,1496,,27,46.8,1039.28,*,,5984.31,16774.08,N,N,N,N
LEVORPHANOL TARTRATE,LEVORPHANOL TARTRATE,506,3897,3934.4,13256116.06,1032,,1516,1544.9,4156081.74,,392,5216.45,142585.63,Y,N,N,N
LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,436975,41030998,74491055.7,806715790.30,7025520,,34950224,65468729.1,700792686.35,,6136783,16658498.75,229371971.86,N,N,N,N
LEVOXYL,LEVOTHYROXINE SODIUM,25008,170792,358261.9,5239669.92,40648,,152753,330072.1,4792896.60,,37033,34791.48,2248489.42,N,N,N,N
LEVSIN,HYOSCYAMINE SULFATE,112,206,278.3,51348.38,108,,156,216.3,40815.24,,83,152.74,13497.79,N,N,N,N
LEVSIN-SL,HYOSCYAMINE SULFATE,164,285,339.4,51008.39,161,,197,238.1,36093.61,,122,175.48,9949.39,N,N,N,N
LEVULAN,AMINOLEVULINIC ACID HCL,158,304,327.9,130007.67,260,,279,302.5,117753.72,,242,325.10,37388.02,N,N,N,N
LEXAPRO,ESCITALOPRAM OXALATE,10917,55751,81627.7,22566196.79,10058,,39759,61355.4,16352187.76,,7675,100264.65,3444969.56,N,N,N,N
LEXIVA,FOSAMPRENAVIR CALCIUM,1898,19019,20111.4,25792035.52,2323,,5784,6267.1,8332693.64,,706,31715.53,343002.55,N,N,N,N
LIALDA,MESALAMINE,24880,227445,330468.4,197499410.03,49149,,195422,290610.4,171281861.33,,42542,308594.64,20800517.11,N,N,N,N
LIBRAX,CHLORDIAZEPOXIDE/CLIDINIUM BR,261,452,640.1,1809992.52,263,,423,607.9,1727490.96,,241,93.86,18871.74,N,N,N,N
LIDOCAINE,LIDOCAINE,204446,2047651,2202723.9,960696401.06,692781,,1424112,1525351.7,608781164.21,,490398,2398230.51,20393980.34,N,N,N,N
LIDOCAINE HCL,LIDOCAINE HCL,86752,388549,396360.7,6227289.57,214430,,303622,309278.6,4555221.06,,173957,152718.97,1182090.53,N,N,N,N
LIDOCAINE HCL,LIDOCAINE HCL/PF,5869,17567,17693.1,201270.89,13242,,15157,15244.4,151400.50,,11585,3755.08,25096.49,N,N,N,N
LIDOCAINE HCL VISCOUS,LIDOCAINE HCL,119160,304973,307607.4,3244144.88,197918,,215728,217675.8,2368187.82,,141854,161158.76,1051400.65,N,N,N,N
LIDOCAINE HCL-EPINEPHRINE,LIDOCAINE HCL/EPINEPHRINE,118,149,150.0,1474.61,140,,129,129,1261.18,,121,24.66,230.36,N,N,N,N
LIDOCAINE-HYDROCORTISONE,HYDROCORTISONE/LIDOCAINE/ALOE,12,16,19.3,4252.99,12,*,,,,*,,100.00,296.13,N,N,N,N
LIDOCAINE-HYDROCORTISONE,LIDOCAINE/HYDROCORTISONE AC,243,390,410.7,52294.33,246,,273,289.2,37972.22,,179,269.22,6049.94,N,N,N,N
LIDOCAINE-PRILOCAINE,LIDOCAINE/PRILOCAINE,82150,652316,667815.7,99194207.26,299100,,445977,456400.2,63061114.73,,218979,668954.85,6810720.00,N,N,N,N
LIDODERM,LIDOCAINE,9860,35605,40534.2,22514028.40,11888,,26141,29769.3,15641223.16,,8818,63298.40,670892.57,N,N,N,N
LIDORX,LIDOCAINE HCL,22,30,30.0,7843.56,23,#,,,,#,,90.52,277.84,N,N,N,N
LINCOCIN,LINCOMYCIN HCL,120,221,222.3,17476.43,161,,184,184,15026.40,,139,134.37,3784.86,N,N,Y,N
LINCOMYCIN HCL,LINCOMYCIN HCL,13,23,24.0,2243.16,17,#,,,,#,,2.95,369.94,N,N,Y,N
LINDANE,LINDANE,1791,2670,2698.5,289944.41,2122,,1337,1356.7,145219.50,,1152,3416.96,24113.45,N,N,N,N
LINEZOLID,LINEZOLID,26568,47305,47425.1,52933477.41,34719,,32960,33049.5,34123662.93,,24762,143170.35,2999277.92,N,N,Y,N
LINEZOLID-0.9% NACL,LINEZOLID-0.9% SODIUM CHLORIDE,218,675,675.0,316580.84,236,,489,489,224155.74,,169,303.41,17755.66,N,N,Y,N
LINZESS,LINACLOTIDE,93759,1098577,1307005.5,410973516.28,268598,,718420,862786.8,268740553.71,,184626,2239227.95,21140524.90,N,N,N,N
LIORESAL INTRATHECAL,BACLOFEN,78,299,341.5,349358.62,97,,39,45.8,51776.44,,15,133.54,2792.52,N,N,N,N
LIOTHYRONINE SODIUM,LIOTHYRONINE SODIUM,49840,471065,821000.6,16739911.10,99737,,367621,668748.9,13350657.35,,80020,199768.79,6543245.57,N,N,N,N
LIPITOR,ATORVASTATIN CALCIUM,24782,122374,258792.2,66698552.61,29937,,117282,250226.9,64407534.83,,28542,90402.15,5475496.99,N,N,N,N
LIPOFEN,FENOFIBRATE,1370,5142,9957.6,1841235.02,1385,,4369,8808.3,1619368.84,,1197,5333.68,283224.58,N,N,N,N
LISINOPRIL,LISINOPRIL,486889,39455554,74374748.1,259612101.61,8006710,,32477511,63481373.6,224055605.26,,6715980,13754439.29,90380327.52,N,N,N,N
LISINOPRIL-HYDROCHLOROTHIAZIDE,LISINOPRIL/HYDROCHLOROTHIAZIDE,262342,7409658,15298895.0,54467653.67,1651692,,6085543,13147820.6,47156275.04,,1388777,2881946.41,21387163.51,N,N,N,N
LITE TOUCH,"PEN NEEDLE, DIABETIC",2307,8466,14593.7,431597.46,2802,,5244,8989.8,251847.95,,1750,12216.20,33928.31,N,N,N,N
LITE TOUCH,"SYRING-NEEDL,DISP,INSUL,0.3 ML",383,1120,1606.4,47359.86,382,,731,1050.8,28956.02,,257,1415.53,5686.64,N,N,N,N
LITE TOUCH,"SYRINGE AND NEEDLE,INSULIN,1ML",1135,3545,5837.1,146835.66,1182,,2083,3355.8,80300.89,,712,5804.37,13140.35,N,N,N,N
LITE TOUCH,"SYRINGE-NEEDLE,INSULIN,0.5 ML",1108,3682,5928.2,145039.95,1132,,2529,4042.3,94335.97,,773,6811.90,13362.73,N,N,N,N
LITHIUM,LITHIUM CITRATE,1796,8674,9461.8,382300.14,1657,,3060,3460.5,98814.36,,625,9711.66,20498.77,N,N,N,N
LITHIUM CARBONATE,LITHIUM CARBONATE,68279,949029,1109534.9,7645018.45,130773,,257296,346948.4,2087454.41,,37597,688923.64,1274702.91,N,N,N,N
LITHIUM CARBONATE ER,LITHIUM CARBONATE,39179,436241,519996.7,8297042.12,65131,,100938,145387.5,1847197.31,,17157,373530.22,1215054.92,N,N,N,N
LITHOBID,LITHIUM CARBONATE,552,2985,3753.3,1973765.99,457,,1261,1748.1,727494.47,,201,6512.55,138799.62,N,N,N,N
LITHOSTAT,ACETOHYDROXAMIC ACID,24,61,69.7,80403.48,24,,28,32.7,34494.23,#,,7.40,1776.50,N,N,N,N
LIVALO,PITAVASTATIN CALCIUM,34390,251435,411495.6,83043331.46,57687,,231936,383013,77034188.32,,53389,283728.87,18995038.66,N,N,N,N
LIVIXIL PAK,LIDOCAINE/PRILOCAINE,65,87,87.0,117295.59,70,,61,61,76534.68,,46,699.30,7695.65,N,N,N,N
LO LOESTRIN FE,NORETHINDRONE-E.ESTRADIOL-IRON,944,3406,4439.8,496799.43,904,,28,31.6,3519.77,*,,10136.40,27871.16,N,N,N,N
LOCOID,HYDROCORTISONE BUTYRATE,696,1043,1095.6,703698.99,782,,892,938.6,595263.34,,684,1053.38,53847.82,N,N,N,N
LOCOID LIPOCREAM,HYDROCORTISONE BUTYRATE/EMOLL,64,107,125.5,90751.86,59,#,,,,#,,132.80,8861.35,N,N,N,N
LODOSYN,CARBIDOPA,264,1480,3014.3,3205529.95,436,,1391,2879.7,2906325.47,,414,510.55,76859.31,N,N,N,N
LOESTRIN,NORETHINDRONE AC-ETH ESTRADIOL,14,37,51.4,5299.74,13,,0,0,0.00,,0,28.50,0.00,N,N,N,N
LOESTRIN FE,NORETHINDRONE-E.ESTRADIOL-IRON,37,140,179.7,17245.46,35,*,,,,*,,104.80,896.55,N,N,N,N
LOFIBRA,FENOFIBRATE,16,43,75.0,8697.18,14,#,,,,#,,73.80,1629.18,N,N,N,N
LOFIBRA,"FENOFIBRATE,MICRONIZED",56,113,246.3,25592.03,59,#,,,,#,,9.60,6524.20,N,N,N,N
LOMEDIA 24 FE,NORETHINDRONE-E.ESTRADIOL-IRON,291,918,1170.2,64961.12,268,,22,28.4,1638.13,*,,1044.95,4699.29,N,N,N,N
LOMOTIL,DIPHENOXYLATE HCL/ATROPINE,569,1567,1902.0,436249.25,514,,1402,1720.5,390809.11,,471,729.11,63590.69,N,N,N,N
LONSURF,TRIFLURIDINE/TIPIRACIL HCL,2280,10440,10479.4,92013341.84,2884,,7476,7509.1,64629912.38,,2056,45474.15,4025015.54,N,N,N,N
LOPERAMIDE,LOPERAMIDE HCL,122679,570188,613047.8,11964834.83,261373,,418977,453921.6,8550800.43,,201122,161148.58,1336198.49,N,N,N,N
LOPID,GEMFIBROZIL,150,514,1031.0,270365.29,135,,456,945,246807.36,,119,270.11,12712.23,N,N,N,N
LOPREEZA,ESTRADIOL/NORETHINDRONE ACET,2989,12795,19713.5,1249592.70,3178,,10328,16319.8,996479.49,,2558,6091.54,488090.73,N,N,N,N
LOPRESSOR,METOPROLOL TARTRATE,395,1235,2259.1,243660.98,380,,1141,2112.1,227963.06,,349,1366.27,48695.15,N,N,N,N
LOPROX,CICLOPIROX,157,275,325.6,239474.13,163,,188,225.6,156810.85,,127,134.60,10341.54,N,N,N,N
LOPROX,CICLOPIROX OLAMINE,,11,11.0,3017.43,,*,,,,*,,0.00,608.60,N,N,N,N
LORAZEPAM,LORAZEPAM,394877,10658948,11722471.1,77409518.92,2217824,,7704765,8647192,58576040.40,,1686157,3836346.26,27762458.00,N,N,N,N
LORAZEPAM INTENSOL,LORAZEPAM,13249,32364,33402.2,1190458.91,23314,,27894,28643,996024.80,,21248,8097.87,183206.26,N,N,N,N
LORTAB,HYDROCODONE/ACETAMINOPHEN,1043,2201,2255.3,528747.50,913,,1467,1511.3,284948.31,,662,1551.65,56393.70,Y,N,N,N
LORYNA,ETHINYL ESTRADIOL/DROSPIRENONE,869,3224,4580.6,208742.05,804,,16,33,1759.56,*,,3720.30,9937.61,N,N,N,N
LORZONE,CHLORZOXAZONE,1390,4626,4981.7,2295902.95,1791,,1621,1796.1,718409.83,,802,4188.53,102160.03,N,N,N,N
LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,386290,22131168,42677497.4,219672896.76,4510215,,19763146,38877683.6,201436170.34,,4058985,6969214.65,80368948.75,N,N,N,N
LOSARTAN-HYDROCHLOROTHIAZIDE,LOSARTAN/HYDROCHLOROTHIAZIDE,233147,6554596,13062981.5,76811077.94,1366439,,5852053,11921608.6,70035063.97,,1232471,2151364.56,28797527.93,N,N,N,N
LOSEASONIQUE,L-NORGEST/E.ESTRADIOL-E.ESTRAD,16,27,75.3,6185.95,15,,0,0,0.00,,0,89.20,212.84,N,N,N,N
LOTEMAX,LOTEPREDNOL ETABONATE,34261,371301,430392.2,72704290.41,187656,,342273,397545.2,66724494.44,,173722,462828.48,15012488.19,N,N,N,N
LOTENSIN,BENAZEPRIL HCL,83,122,165.6,12408.48,82,#,,,,#,,122.13,4678.12,N,N,N,N
LOTENSIN HCT,BENAZEPRIL/HYDROCHLOROTHIAZIDE,22,49,99.0,7504.31,21,#,,,,#,,61.44,2627.79,N,N,N,N
LOTREL,AMLODIPINE BESYLATE/BENAZEPRIL,2696,12620,21485.3,5589369.39,2405,,11672,20102.3,5209855.17,,2246,22435.29,872628.12,N,N,N,N
LOTRISONE,CLOTRIMAZOLE/BETAMETHASONE DIP,382,635,677.4,75318.52,370,,528,564.4,61253.84,,309,700.18,12076.56,N,N,N,N
LOTRONEX,ALOSETRON HCL,417,1780,2044.7,4607321.43,435,,1385,1634.2,3484447.85,,330,3566.01,243744.10,N,N,N,N
LOVASTATIN,LOVASTATIN,221059,5315311,11122853.8,61305056.59,1140872,,4669653,10072209.5,55631818.72,,1020854,1934089.14,20635874.35,N,N,N,N
LOVAZA,OMEGA-3 ACID ETHYL ESTERS,9324,42794,64617.0,15588180.22,12172,,35582,55350.9,13264252.31,,10011,77961.98,1418051.03,N,N,N,N
LOVENOX,ENOXAPARIN SODIUM,8443,36096,36487.6,14606239.68,19874,,32266,32567,10933828.22,,18112,15132.78,505239.86,N,N,N,N
LOW-OGESTREL,NORGESTREL-ETHINYL ESTRADIOL,2209,10698,14858.3,265986.41,2003,,62,82.1,1556.92,,16,10610.04,14682.66,N,N,N,N
LOXAPINE,LOXAPINE SUCCINATE,9751,101181,110778.1,4460568.00,11909,,27469,32058.3,1114192.44,,3318,89059.39,258030.84,N,N,N,Y
LUCENTIS,RANIBIZUMAB,141,1188,1237.7,2798874.27,334,,1124,1173.6,2696559.78,,316,5701.01,308416.91,N,N,N,N
LUDENT FLUORIDE,SODIUM FLUORIDE,242,1202,1954.5,6123.40,318,,625,1178.8,3415.98,,192,109.54,1965.58,N,N,N,N
LUER-LOK SYRINGE,"SYRINGE W-O NEEDL,INSULIN,1 ML",22,33,54.1,505.80,22,,22,43.1,369.69,#,,19.29,192.01,N,N,N,N
LUMIGAN,BIMATOPROST,67254,2058534,2919605.6,483914500.24,433712,,1942312,2766227.9,457920294.92,,409438,3122539.61,79948946.59,N,N,N,N
LUMIZYME,ALGLUCOSIDASE ALFA,34,500,500.0,16239938.29,32,,94,94,2778813.24,*,,42.00,312114.42,N,N,N,N
LUNESTA,ESZOPICLONE,4047,18943,22364.1,9486857.40,3652,,11887,14629.5,6155380.26,,2399,34029.04,806750.20,N,N,N,N
LUPANETA PACK,LEUPROLIDE/NORETHINDRONE ACET,34,64,91.3,102337.07,34,,0,0,0.00,,0,188.80,0.00,N,N,N,N
LUPRON DEPOT,LEUPROLIDE ACETATE,3942,17618,35675.4,48327340.23,5886,,12415,27448.2,38439294.48,,4370,71961.74,1764438.86,N,N,N,N
LUPRON DEPOT-PED,LEUPROLIDE ACETATE,46,195,242.8,592640.55,43,,31,40.6,137525.70,,15,1414.10,4321.31,N,N,N,N
LUTERA,LEVONORGESTREL-ETHIN ESTRADIOL,1972,7766,11537.0,179370.07,1753,,82,107.2,2198.47,,15,8295.79,13434.15,N,N,N,N
LUXIQ,BETAMETHASONE VALERATE,62,145,162.0,87669.34,62,,123,126,66544.45,,51,151.60,4928.28,N,N,N,N
LUZU,LULICONAZOLE,1090,1987,2087.0,847691.26,1338,,1679,1770.5,715503.71,,1161,1173.08,87045.77,N,N,N,N
LYNPARZA,OLAPARIB,917,4660,4662.5,48125766.95,958,,3235,3236.8,33047870.06,,669,30813.68,2322224.01,N,N,N,N
LYRICA,PREGABALIN,267532,4940115,5815236.9,2098953250.10,852497,,2876060,3517218.1,1206311387.40,,520833,12106564.38,141818876.38,N,N,N,N
LYSODREN,MITOTANE,150,530,639.3,501014.50,122,,359,451.3,339031.72,,83,1476.54,56021.76,N,N,N,N
LYSTEDA,TRANEXAMIC ACID,12,35,35.0,9517.14,12,*,,,,*,,6.60,693.72,N,N,N,N
M-M-R II VACCINE,"MEASLES,MUMPS,RUBELLA VACC/PF",1918,3966,4004.0,320021.79,3683,,2197,2227,174128.58,,2074,7008.88,73243.51,N,N,N,N
MACROBID,NITROFURANTOIN MONOHYD/M-CRYST,503,789,892.1,99588.83,463,,697,798.1,88238.27,,413,806.17,17808.57,N,N,Y,N
MACRODANTIN,NITROFURANTOIN MACROCRYSTAL,271,684,956.2,240047.80,261,,585,830.1,185709.06,,233,590.35,25829.15,N,N,Y,N
MAGELLAN INSULIN SAFETY SYRNG,"SYRINGE,NEEDLE,INSULN,SAFE,1ML",122,3081,3102.8,96773.79,487,,2859,2880.7,88765.65,,438,772.09,5470.90,N,N,N,N
MAGELLAN INSULIN SAFETY SYRNG,"SYRINGE,NEEDLE,INSULN,SF 0.5ML",20,131,133.0,4194.27,20,,116,118,3601.92,#,,309.35,1064.95,N,N,N,N
MAGELLAN INSULIN SYRINGE,"SYRINGE,NEEDLE,INSULN,SF 0.5ML",105,2943,2943.0,86720.61,574,,2496,2496,72775.16,,475,168.25,908.24,N,N,N,N
MAGNEBIND 400 RX,CALCIUM CARB/MAG CARB/FOLIC AC,34,111,130.0,2123.83,32,,92,102,1766.62,,19,29.04,997.88,N,N,N,N
MAGNESIUM SULFATE,MAGNESIUM SULFATE,716,4078,4273.1,69741.18,797,,2432,2562.7,39708.49,,531,1599.57,14004.85,N,N,N,N
MAGNESIUM SULFATE,MAGNESIUM SULFATE IN WATER,74,337,337.0,8460.50,72,,196,196,5035.78,,41,197.62,1564.16,N,N,N,N
MAGNESIUM SULFATE-D5W,MAGNESIUM SULFATE/D5W,31,110,110.0,5379.20,33,,80,80,3007.35,,21,27.98,214.14,N,N,N,N
MAKENA,HYDROXYPROGESTERONE CAPROAT/PF,177,489,490.5,1341617.55,179,,0,0,0.00,,0,1254.60,3736.73,N,N,N,N
MAKENA,HYDROXYPROGESTERONE CAPROATE,274,709,765.5,2596004.00,278,,0,0,0.00,,0,4924.73,0.00,N,N,N,N
MALARONE,ATOVAQUONE/PROGUANIL HCL,93,138,147.5,28708.38,112,,113,122.3,17601.08,#,,23.17,7134.62,N,N,N,N
MALATHION,MALATHION,2688,4119,4162.7,841288.39,2940,,1551,1576.4,322117.26,,1147,5624.77,42201.27,N,N,N,N
MANNITOL,MANNITOL,70,286,289.9,1934.58,118,,235,238.9,1664.08,,100,121.06,883.59,N,N,N,N
MAPROTILINE HCL,MAPROTILINE HCL,1183,6048,9418.5,631340.60,1048,,5099,8223.4,526127.08,,883,4531.92,165247.15,N,N,N,N
MARCAINE,BUPIVACAINE HCL,49,106,112.0,3687.66,60,,77,79,2919.45,,44,9.96,1499.71,N,N,N,N
MARCAINE,BUPIVACAINE HCL/PF,100,187,194.5,3816.26,133,,153,153.7,1177.14,,110,60.41,874.67,N,N,N,N
MARGESIC,BUTALB/ACETAMINOPHEN/CAFFEINE,71,158,180.5,13143.19,66,,111,127.5,11237.26,,43,63.44,3646.52,N,N,N,N
MARINOL,DRONABINOL,252,788,828.1,1550161.92,221,,179,194.5,218784.81,,86,1873.89,7495.99,N,N,N,N
MARLISSA,LEVONORGESTREL-ETHIN ESTRADIOL,599,2139,2899.4,40222.07,541,,0,0,0.00,,0,1545.68,2227.18,N,N,N,N
MARPLAN,ISOCARBOXAZID,175,892,1163.2,554043.25,156,,668,906.3,421234.50,,115,1442.01,101032.52,N,N,N,N
MATULANE,PROCARBAZINE HCL,345,850,857.9,1539751.09,346,,628,635.1,1050193.94,,254,3176.13,231795.25,N,N,N,N
MATZIM LA,DILTIAZEM HCL,14965,55947,100021.2,6927878.16,15409,,51528,93464.3,6494242.61,,14140,28241.30,1266408.81,N,N,N,N
MAVIK,TRANDOLAPRIL,91,380,639.4,58858.68,84,#,,,,#,,397.39,19614.61,N,N,N,N
MAXALT,RIZATRIPTAN BENZOATE,902,4031,4390.7,2472871.86,785,,1890,2117,1200907.67,,436,7057.61,124367.98,N,N,N,N
MAXALT MLT,RIZATRIPTAN BENZOATE,1133,4231,4710.8,2268419.44,985,,2077,2408.2,1113491.46,,567,6702.39,153980.48,N,N,N,N
MAXI-COMFORT,"SYRINGE AND NEEDLE,INSULIN,1ML",65,201,354.6,3460.23,104,,141,275.7,1912.03,,73,262.11,448.74,N,N,N,N
MAXI-COMFORT,"SYRINGE-NEEDLE,INSULIN,0.5 ML",28,81,100.7,2532.25,29,,62,79.7,2015.89,#,,173.45,225.22,N,N,N,N
MAXIDEX,DEXAMETHASONE,1308,3848,4665.0,335785.88,2159,,3499,4263.2,304996.46,,1935,6250.41,143154.58,N,N,N,N
MAXIPIME,CEFEPIME HCL,472,1046,1046.2,96351.65,518,,757,757,66276.40,,389,817.14,19864.91,N,N,Y,N
MAXITROL,NEOMYCIN/POLYMYXIN B/DEXAMETHA,234,302,310.1,45553.66,240,,270,278.1,41286.12,,216,322.35,9946.23,N,N,N,N
MAXZIDE,TRIAMTERENE/HYDROCHLOROTHIAZID,474,1866,3384.7,319085.33,424,,1798,3283.7,308288.53,,406,1415.89,108618.86,N,N,N,N
MAXZIDE-25 MG,TRIAMTERENE/HYDROCHLOROTHIAZID,745,2659,4960.1,220647.04,672,,2584,4800.2,213691.23,,644,2034.08,98738.38,N,N,N,N
MECLIZINE HCL,MECLIZINE HCL,296217,2649286,2965758.4,35766055.90,1155497,,2261088,2540924,30448125.52,,997155,1288167.20,8363344.40,N,N,N,N
MECLOFENAMATE SODIUM,MECLOFENAMATE SODIUM,474,1461,2179.0,647274.27,489,,1063,1678.4,476545.63,,368,1992.33,48213.43,N,N,N,N
MEDROL,METHYLPREDNISOLONE,1655,4043,5632.6,300119.47,1696,,3475,4880.3,254590.24,,1456,2740.80,95410.86,N,N,N,N
MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE,77372,473475,894315.9,11306833.97,127775,,219622,413946.4,2838734.54,,54936,247868.68,1466569.98,N,N,N,N
MEFENAMIC ACID,MEFENAMIC ACID,307,621,673.1,267383.77,328,,248,285.6,138023.04,,137,1101.51,13697.90,N,N,N,N
MEFLOQUINE HCL,MEFLOQUINE HCL,7961,13920,27140.2,699037.14,12166,,12911,25199.8,647782.62,,11358,6515.32,232565.23,N,N,N,N
MEGACE,MEGESTROL ACETATE,88,152,162.9,24754.30,86,,127,135.7,20170.20,,74,236.40,2850.33,N,N,N,N
MEGACE ES,MEGESTROL ACETATE,1319,3067,3170.6,2808224.56,1524,,2190,2265.3,2002479.97,,1216,9236.94,72923.56,N,N,N,N
MEGESTROL ACETATE,MEGESTROL ACETATE,94963,586957,651534.6,28873120.11,209971,,483420,538775.4,23734286.58,,178517,401360.02,4575222.20,N,N,N,N
MEKINIST,TRAMETINIB DIMETHYL SULFOXIDE,1042,5592,5652.2,53965629.47,1240,,4351,4405.8,41941138.96,,1000,42156.57,2313499.58,N,N,N,N
MELOXICAM,MELOXICAM,322114,9637044,14034269.2,55075102.14,2925086,,7426017,11204224.9,44525154.98,,2324685,3796699.35,19982985.17,N,N,N,N
MEMANTINE HCL,MEMANTINE HCL,161346,3339273,4173442.4,221911267.15,524859,,3197001,4007464.1,212485405.31,,503105,1919404.55,43425985.22,N,N,N,N
MENACTRA,"MENING VAC A,C,Y,W-135 DIP/PF",1709,3676,3706.0,503924.82,3433,,2111,2124.6,291873.89,,2019,6091.79,90659.77,N,N,N,N
MENEST,"ESTROGENS,ESTERIFIED",5863,25307,40226.0,2288971.66,5698,,20077,33219,1816189.79,,4724,14251.15,1021620.91,N,N,N,N
MENOMUNE-A-C-Y-W-135,"MENINGOCOC VAC A,C,Y,W-135/PF",546,1102,1120.0,153096.80,1056,,889,903,123325.97,,861,1545.21,31569.65,N,N,N,N
MENOMUNE-A-C-Y-W-135,"MENINGOCOCCAL VAC A,C,Y,W-135",36,48,50.0,19946.04,48,#,,,,#,,62.20,1875.31,N,N,N,N
MENOSTAR,ESTRADIOL,607,3059,5215.4,662548.95,673,,2872,4949.9,628014.74,,632,743.40,237442.52,N,N,N,N
MENTAX,BUTENAFINE HCL,1071,2042,2172.4,395749.45,1176,,1607,1721.9,315452.09,,963,3089.88,60630.57,N,N,N,N
MENVEO A-C-Y-W-135-DIP,"MENING VAC A,C,Y,W-135 DIP/PF",936,2139,2145.0,252165.38,1936,,1588,1590,184081.35,,1435,1215.57,13083.97,N,N,N,N
MEPERIDINE HCL,MEPERIDINE HCL,8367,26748,27150.7,1574821.08,9916,,14126,14364.1,732550.34,,6408,19720.94,333293.53,Y,Y,N,N
